City,Income_Lakhs,Age,Car_Age,Digital_Usage_Score,Attire,Cookware,Color_Pref,Hardware_Interest,Service_Interest,Annual_Spend,Switch_Intent
Delhi,1.2393563074099072,52,0,5,Saree/Traditional,Smart Electric Pan,Vibrant,Battery Monitor,None,14547.439709676248,0
Ahmedabad,1.854164703806556,22,6,1,Saree/Traditional,Cast Iron,Pastel,Dashcam,AC Clean,42717.91604321053,0
Hyderabad,0.3474092633563325,26,3,6,Western Formal,Smart Electric Pan,Pastel,None,None,8611.306692717946,1
Pune,1.4730556421457872,46,7,9,Saree/Traditional,Traditional,Pastel,Battery Monitor,SOS,32473.582704339948,1
Delhi,0.7095448943873027,23,12,2,Casual,Traditional,Monochrome,Dashcam,Mobile Oil Change,30318.521829256555,1
Pune,1.5319636133705694,42,3,7,Saree/Traditional,Smart Electric Pan,Pastel,Battery Monitor,None,34921.463599766445,1
Delhi,0.9037440345837262,48,5,6,Casual,Traditional,Vibrant,Dashcam,SOS,23621.181220153256,1
Delhi,0.3,39,8,5,Casual,Smart Electric Pan,Vibrant,None,SOS,500000.0,1
Bangalore,1.4217465616124911,19,4,4,Western Formal,Traditional,Pastel,OBD,None,31561.545005475255,1
Delhi,1.4166868622081212,62,13,4,Western Formal,Traditional,Pastel,Battery Monitor,Mobile Oil Change,45795.328448274704,1
Mumbai,0.8525518149123421,22,11,6,Western Formal,Cast Iron,Vibrant,None,None,38702.153687309634,1
Hyderabad,0.8169936839141985,44,3,4,Western Formal,Smart Electric Pan,Pastel,Battery Monitor,AC Clean,18536.014755821154,0
Hyderabad,0.4131763649474084,42,7,5,Saree/Traditional,Traditional,Monochrome,Battery Monitor,None,20127.900739516008,1
Pune,1.6638599649233228,25,12,6,Western Formal,Smart Electric Pan,Pastel,Dashcam,None,55750.47932534254,1
Delhi,1.7293294694800847,18,8,5,Saree/Traditional,Cast Iron,Monochrome,Battery Monitor,Mobile Oil Change,42505.438239813135,1
Mumbai,0.6725694688944661,37,3,7,Western Formal,Smart Electric Pan,Monochrome,Dashcam,None,18980.25395871643,1
Pune,0.8760393242766895,61,2,9,Western Formal,Cast Iron,Monochrome,None,SOS,19709.31268147265,1
Bangalore,1.162026527316622,40,7,10,Casual,Smart Electric Pan,Pastel,Battery Monitor,Mobile Oil Change,26745.69446588804,1
Pune,2.5625191686213276,49,13,7,Saree/Traditional,Smart Electric Pan,Monochrome,None,SOS,67256.39856413688,1
Pune,1.5270730485533592,28,4,7,Casual,Cast Iron,Monochrome,OBD,Mobile Oil Change,37887.69334052397,1
Delhi,0.6339506909949724,56,1,4,Western Formal,Traditional,Pastel,None,AC Clean,16676.406315747037,0
Bangalore,1.3822681856943033,64,9,1,Saree/Traditional,Traditional,Monochrome,Battery Monitor,AC Clean,35659.77797247295,1
Pune,0.3739850756171509,41,8,8,Western Formal,Traditional,Pastel,OBD,AC Clean,22690.154462794075,1
Mumbai,1.6307941859497024,28,2,4,Casual,Smart Electric Pan,Vibrant,Dashcam,None,30709.47447280969,1
Mumbai,2.205328436126691,46,11,1,Saree/Traditional,Smart Electric Pan,Monochrome,OBD,AC Clean,54221.73257679642,1
Hyderabad,2.2078750110503744,43,1,5,Casual,Traditional,Pastel,Battery Monitor,Mobile Oil Change,38961.034436592185,1
Bangalore,1.6409361020846032,33,0,8,Western Formal,Smart Electric Pan,Vibrant,Battery Monitor,AC Clean,28423.22559595809,1
Bangalore,0.8499525864791222,52,13,4,Western Formal,Smart Electric Pan,Monochrome,None,Mobile Oil Change,36665.30523709554,1
Hyderabad,0.41945894609152445,37,7,8,Western Formal,Traditional,Monochrome,Dashcam,SOS,22502.721017286178,1
Pune,0.35987697397853446,63,10,8,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,None,29594.51035455227,1
Bangalore,0.3,20,2,3,Casual,Smart Electric Pan,Vibrant,Battery Monitor,SOS,18048.83539244154,0
Mumbai,1.6163134578047529,18,6,9,Casual,Smart Electric Pan,Pastel,Dashcam,SOS,37147.87817259777,1
Mumbai,1.1382986878653603,64,0,3,Western Formal,Smart Electric Pan,Monochrome,Dashcam,AC Clean,18953.094004952614,0
Delhi,0.1,18,0,1,Casual,Smart Electric Pan,Monochrome,None,AC Clean,25493.101813242763,0
Bangalore,2.056818891140873,34,14,2,Saree/Traditional,Cast Iron,Monochrome,OBD,AC Clean,57774.93819820829,1
Pune,1.259943326341446,19,11,6,Western Formal,Traditional,Monochrome,Dashcam,SOS,44026.10781148601,1
Hyderabad,1.2875769658278902,46,8,10,Western Formal,Smart Electric Pan,Vibrant,Battery Monitor,None,37089.28328028748,1
Hyderabad,0.9214077933015201,37,14,2,Western Formal,Traditional,Vibrant,Dashcam,None,33683.0198929706,1
Pune,0.9923493496965551,23,11,6,Saree/Traditional,Smart Electric Pan,Pastel,Battery Monitor,SOS,40170.96141550092,1
Ahmedabad,1.6370819474837603,25,7,1,Western Formal,Cast Iron,Pastel,None,None,37947.486534784344,1
Delhi,1.0953749817808136,46,11,1,Western Formal,Traditional,Pastel,OBD,SOS,35604.52864431619,1
Hyderabad,1.0085953999483057,65,12,5,Western Formal,Cast Iron,Monochrome,None,SOS,37033.068422382625,1
Bangalore,1.1890098843342893,68,2,10,Western Formal,Smart Electric Pan,Pastel,Dashcam,None,26368.76270234894,1
Delhi,1.7317981176369537,50,5,9,Casual,Cast Iron,Vibrant,Battery Monitor,Mobile Oil Change,36489.352552806195,1
Bangalore,0.7844030653019384,20,10,8,Western Formal,Cast Iron,Pastel,Dashcam,Mobile Oil Change,31229.02485994331,1
Mumbai,1.1600828894687805,52,2,3,Saree/Traditional,Smart Electric Pan,Pastel,Dashcam,AC Clean,18455.38743221918,0
Delhi,1.3471667026670577,22,12,3,Western Formal,Smart Electric Pan,Vibrant,Dashcam,None,40960.41117943211,1
Hyderabad,1.8961331421511436,44,11,1,Western Formal,Traditional,Vibrant,Dashcam,AC Clean,50534.58840877972,1
Delhi,1.0564219339203487,61,3,3,Casual,Smart Electric Pan,Monochrome,OBD,SOS,18302.818831923916,0
Delhi,0.7693059683689667,29,0,1,Western Formal,Traditional,Vibrant,Battery Monitor,Mobile Oil Change,15395.791555530574,0
Delhi,0.9093834334365867,37,4,8,Casual,Cast Iron,Vibrant,Dashcam,None,20503.891743028675,1
Ahmedabad,1.8318344598092273,62,0,1,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,None,28327.32433856543,0
Delhi,2.4199831791620787,37,12,5,Casual,Traditional,Vibrant,OBD,None,61354.5941102355,1
Bangalore,0.41174531178838025,26,0,9,Western Formal,Smart Electric Pan,Monochrome,Battery Monitor,Mobile Oil Change,12250.10553762484,1
Mumbai,0.5428190309580857,56,9,7,Saree/Traditional,Smart Electric Pan,Pastel,Battery Monitor,AC Clean,29616.96124981979,1
Pune,1.0987219279787128,21,14,4,Western Formal,Cast Iron,Monochrome,OBD,Mobile Oil Change,43028.74834875362,1
Delhi,1.266573657640826,68,10,9,Casual,Traditional,Vibrant,Dashcam,AC Clean,40083.94994746753,1
Hyderabad,1.6721817393329972,36,10,9,Saree/Traditional,Cast Iron,Monochrome,Battery Monitor,SOS,48472.32908447016,1
Delhi,0.6653201948391082,55,13,2,Saree/Traditional,Cast Iron,Monochrome,None,SOS,35013.88483260491,1
Hyderabad,0.5621345780103214,44,6,10,Casual,Smart Electric Pan,Vibrant,Battery Monitor,AC Clean,22194.554400941688,1
Bangalore,1.282852291880178,62,11,10,Casual,Traditional,Vibrant,Dashcam,SOS,44155.70205360852,1
Hyderabad,1.0449595678756989,60,5,6,Saree/Traditional,Cast Iron,Pastel,None,SOS,26573.009963437493,1
Pune,1.7560325986629148,30,1,4,Saree/Traditional,Smart Electric Pan,Pastel,Dashcam,None,27938.88275396044,0
Mumbai,1.4924158819142301,30,13,8,Casual,Cast Iron,Pastel,Battery Monitor,None,47851.21666735746,1
Hyderabad,1.5332276085799312,39,10,7,Western Formal,Cast Iron,Vibrant,OBD,Mobile Oil Change,45257.67062424681,1
Hyderabad,1.13731119217388,45,11,7,Saree/Traditional,Smart Electric Pan,Monochrome,Dashcam,Mobile Oil Change,36875.40503742438,1
Mumbai,2.6133481551409234,69,1,10,Casual,Smart Electric Pan,Monochrome,Dashcam,Mobile Oil Change,48319.22940755684,1
Pune,0.697351211043744,64,10,9,Western Formal,Traditional,Pastel,OBD,None,30388.44740656455,1
Delhi,1.566485900252865,62,6,5,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,Mobile Oil Change,29517.611982075054,1
Hyderabad,0.4381860077561356,39,0,6,Saree/Traditional,Traditional,Vibrant,Dashcam,Mobile Oil Change,10630.417067536182,1
Mumbai,0.5559193933563286,60,12,1,Casual,Smart Electric Pan,Monochrome,Battery Monitor,None,22234.409739902276,1
Bangalore,0.835592640740727,36,1,6,Western Formal,Smart Electric Pan,Pastel,Battery Monitor,AC Clean,13698.132419778867,1
Mumbai,2.1775940019708155,25,11,2,Saree/Traditional,Cast Iron,Vibrant,Battery Monitor,None,60531.27929832596,1
Bangalore,1.3583366582724115,69,7,6,Western Formal,Traditional,Pastel,OBD,AC Clean,38555.02923229812,1
Pune,0.8457131588733748,25,5,9,Western Formal,Traditional,Vibrant,Battery Monitor,None,28217.82465876386,1
Delhi,1.4246617955727439,59,14,8,Saree/Traditional,Cast Iron,Monochrome,Battery Monitor,Mobile Oil Change,46413.46908156367,1
Mumbai,1.221088728854705,43,13,9,Western Formal,Cast Iron,Vibrant,None,SOS,44756.43944463116,1
Ahmedabad,0.9048159785165281,65,1,10,Saree/Traditional,Traditional,Pastel,None,SOS,23096.52953337962,1
Hyderabad,0.3620226865270634,68,6,8,Western Formal,Smart Electric Pan,Pastel,None,AC Clean,21349.253020251967,1
Pune,2.0631254907073737,43,3,3,Saree/Traditional,Smart Electric Pan,Monochrome,Dashcam,AC Clean,40954.453195547925,0
Mumbai,1.3258908772260252,40,1,8,Casual,Cast Iron,Monochrome,Dashcam,AC Clean,30232.968552043312,1
Hyderabad,2.5042430240809432,60,11,6,Saree/Traditional,Traditional,Pastel,None,SOS,61743.97498831386,1
Mumbai,1.764192972324528,30,5,6,Saree/Traditional,Traditional,Pastel,OBD,AC Clean,34170.84293856674,1
Bangalore,1.5307918348566254,45,10,6,Saree/Traditional,Traditional,Pastel,OBD,None,45157.023155589726,1
Mumbai,0.9388774028298197,26,14,3,Western Formal,Smart Electric Pan,Monochrome,None,None,39776.568543864676,1
Ahmedabad,0.5427926616858499,37,8,10,Casual,Smart Electric Pan,Pastel,Dashcam,SOS,22669.31042749722,1
Mumbai,1.0693614093069317,36,10,1,Western Formal,Traditional,Monochrome,Dashcam,None,37124.094442333495,1
Mumbai,0.5254244434765015,65,8,4,Western Formal,Traditional,Pastel,OBD,AC Clean,27487.58518706852,1
Ahmedabad,1.5901142284384526,56,13,10,Saree/Traditional,Cast Iron,Vibrant,Battery Monitor,SOS,50970.01476585118,1
Pune,2.179591498618278,68,7,6,Western Formal,Cast Iron,Vibrant,OBD,AC Clean,48655.30093605557,1
Mumbai,1.043452640329722,29,14,10,Saree/Traditional,Traditional,Pastel,Battery Monitor,None,38633.78275400383,1
Ahmedabad,0.1,32,2,2,Casual,Traditional,Vibrant,Dashcam,AC Clean,34271.73807656658,0
Hyderabad,0.7864625578698861,48,2,7,Western Formal,Smart Electric Pan,Monochrome,Dashcam,SOS,20576.722387232185,1
Bangalore,1.0185198970755893,31,1,7,Western Formal,Traditional,Vibrant,None,AC Clean,20628.47019849386,1
Bangalore,0.7110216092607342,28,4,4,Western Formal,Cast Iron,Vibrant,Dashcam,None,15707.97541035994,0
Mumbai,0.3,43,13,4,Saree/Traditional,Smart Electric Pan,Monochrome,Battery Monitor,Mobile Oil Change,24566.876676288583,1
Pune,1.1780799900488337,59,11,1,Saree/Traditional,Cast Iron,Vibrant,OBD,SOS,43950.9260915663,1
Pune,1.2770710425586516,44,13,2,Western Formal,Cast Iron,Vibrant,None,AC Clean,40357.35410151964,1
Hyderabad,1.8395165992569824,28,3,9,Western Formal,Smart Electric Pan,Pastel,Battery Monitor,SOS,36995.30141572505,1
Mumbai,1.6772629516015725,55,6,10,Casual,Cast Iron,Monochrome,OBD,AC Clean,37052.867260805,1
Bangalore,1.6853717394233971,51,3,8,Casual,Traditional,Monochrome,OBD,Mobile Oil Change,27013.850025387794,1
Pune,0.6155782661292738,60,8,8,Casual,Cast Iron,Pastel,OBD,None,28177.694990901116,1
Mumbai,1.4756983836424151,36,11,9,Casual,Smart Electric Pan,Pastel,Dashcam,AC Clean,47347.05755113752,1
Pune,2.1495563792889554,23,11,7,Casual,Smart Electric Pan,Vibrant,OBD,AC Clean,49836.95462223209,1
Ahmedabad,1.4279207104254485,63,1,9,Saree/Traditional,Smart Electric Pan,Vibrant,Dashcam,Mobile Oil Change,30143.666317715135,1
Pune,2.297156167838998,69,10,10,Casual,Cast Iron,Vibrant,OBD,SOS,54877.537332719585,1
Bangalore,2.411379666671918,55,13,2,Casual,Traditional,Pastel,OBD,None,57122.923777086624,1
Delhi,1.0389190378250126,66,5,6,Western Formal,Smart Electric Pan,Monochrome,Dashcam,AC Clean,23539.241576330725,1
Hyderabad,0.781836152951657,59,14,3,Saree/Traditional,Traditional,Vibrant,Dashcam,AC Clean,40741.22088856618,1
Hyderabad,0.74312270074863,45,6,6,Casual,Smart Electric Pan,Pastel,Battery Monitor,None,18575.626300801807,1
Bangalore,0.3,18,3,3,Casual,Traditional,Monochrome,OBD,Mobile Oil Change,7373.483917822595,1
Pune,0.8889582603506869,52,12,8,Casual,Traditional,Pastel,Dashcam,SOS,39429.172828704766,1
Mumbai,1.924599269853748,57,5,4,Western Formal,Traditional,Vibrant,Battery Monitor,None,40365.02167237945,1
Pune,0.3,25,6,10,Western Formal,Smart Electric Pan,Pastel,Battery Monitor,SOS,16234.05502795707,1
Bangalore,0.5775279595717522,69,3,6,Western Formal,Cast Iron,Pastel,Dashcam,Mobile Oil Change,20321.94153749451,1
Hyderabad,1.1237211350088014,64,14,9,Casual,Cast Iron,Pastel,OBD,Mobile Oil Change,42316.61755200378,1
Pune,0.6736888796269799,24,7,2,Western Formal,Cast Iron,Pastel,Battery Monitor,None,22879.69108243193,0
Hyderabad,0.8836284334558677,28,8,2,Casual,Traditional,Monochrome,OBD,AC Clean,27431.63984553255,1
Mumbai,0.8926021953466179,56,0,7,Saree/Traditional,Smart Electric Pan,Vibrant,OBD,Mobile Oil Change,15177.838453160539,1
Hyderabad,1.0454758679629506,21,6,2,Casual,Traditional,Monochrome,Battery Monitor,Mobile Oil Change,26696.14589585232,1
Hyderabad,0.7623271823341567,42,8,2,Western Formal,Smart Electric Pan,Pastel,Dashcam,None,25959.312220401094,0
Delhi,0.7132720716866712,29,14,4,Saree/Traditional,Traditional,Pastel,OBD,None,36786.538571932724,1
Delhi,1.7605858475527387,43,11,9,Casual,Smart Electric Pan,Vibrant,None,None,49263.00624062494,1
Ahmedabad,1.829792506716207,55,9,8,Saree/Traditional,Smart Electric Pan,Vibrant,Dashcam,Mobile Oil Change,50102.95897367875,1
Delhi,0.37167399285155434,63,4,2,Saree/Traditional,Smart Electric Pan,Monochrome,Battery Monitor,SOS,12877.869056422029,1
Hyderabad,0.3,29,11,8,Saree/Traditional,Traditional,Monochrome,None,Mobile Oil Change,29575.83808353268,1
Bangalore,1.8380249097425585,60,1,4,Casual,Cast Iron,Vibrant,OBD,None,31416.54141840049,0
Hyderabad,0.4627197488687175,68,9,2,Western Formal,Traditional,Monochrome,Dashcam,AC Clean,25039.48769590576,1
Bangalore,1.3276469030758438,54,5,10,Casual,Traditional,Pastel,None,AC Clean,35248.43725237552,1
Bangalore,0.3,63,11,7,Western Formal,Smart Electric Pan,Pastel,Dashcam,None,23679.184029404998,1
Delhi,1.978652991155803,41,11,6,Casual,Smart Electric Pan,Vibrant,OBD,AC Clean,53761.99464824427,1
Pune,2.7262007371809167,33,6,10,Casual,Cast Iron,Monochrome,Dashcam,Mobile Oil Change,55056.54882006222,1
Mumbai,1.309684145523202,30,1,5,Casual,Cast Iron,Pastel,None,SOS,20562.244185475363,1
Delhi,1.1435384109242899,42,1,1,Western Formal,Smart Electric Pan,Vibrant,Dashcam,Mobile Oil Change,21680.416252431325,0
Delhi,1.0067162548859616,69,9,2,Casual,Cast Iron,Monochrome,Battery Monitor,None,500000.0,1
Pune,1.6690795867877468,21,14,8,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,Mobile Oil Change,54568.67809701095,1
Mumbai,1.5406120505607515,28,13,1,Casual,Smart Electric Pan,Monochrome,None,AC Clean,38771.83497166203,1
Hyderabad,1.8020990721317187,49,11,3,Saree/Traditional,Traditional,Monochrome,Dashcam,Mobile Oil Change,50209.734278746655,1
Ahmedabad,0.8232500864411504,66,9,2,Western Formal,Cast Iron,Monochrome,None,SOS,37119.02782988006,1
Ahmedabad,1.404070623842787,24,0,5,Western Formal,Smart Electric Pan,Vibrant,Dashcam,AC Clean,23038.0649184694,0
Hyderabad,0.8745191599762823,63,3,4,Casual,Cast Iron,Pastel,OBD,SOS,19327.122431017564,0
Delhi,0.5653706111579674,28,6,7,Casual,Cast Iron,Vibrant,Battery Monitor,SOS,20696.68610125038,1
Mumbai,1.1753907473979217,45,13,5,Casual,Smart Electric Pan,Pastel,OBD,SOS,44697.64984568384,1
Delhi,0.6464923617737507,58,8,8,Saree/Traditional,Cast Iron,Pastel,Dashcam,Mobile Oil Change,26385.067832136323,1
Bangalore,1.904236198645553,40,14,4,Western Formal,Cast Iron,Vibrant,OBD,Mobile Oil Change,57306.218222864154,1
Delhi,0.6828477731905062,62,2,6,Saree/Traditional,Cast Iron,Vibrant,None,Mobile Oil Change,21410.060798484432,1
Delhi,1.4181275644124158,40,11,4,Saree/Traditional,Traditional,Pastel,None,Mobile Oil Change,45195.03034783107,1
Hyderabad,0.8379466207441666,67,10,2,Casual,Traditional,Pastel,Dashcam,AC Clean,30845.200445126855,1
Hyderabad,1.3662376502625073,45,6,1,Casual,Cast Iron,Pastel,Battery Monitor,Mobile Oil Change,28347.138246704413,1
Hyderabad,0.8856020559267861,60,6,1,Saree/Traditional,Smart Electric Pan,Monochrome,None,AC Clean,23259.374302831045,0
Ahmedabad,0.4456732350854775,64,6,8,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,SOS,20203.038829241366,1
Bangalore,1.490263644571107,43,1,4,Casual,Cast Iron,Vibrant,Dashcam,AC Clean,21798.156587181,0
Hyderabad,1.0587506268520668,42,5,5,Casual,Traditional,Vibrant,Battery Monitor,None,30142.065056279054,1
Mumbai,1.3715909644334756,46,1,8,Saree/Traditional,Traditional,Vibrant,Dashcam,Mobile Oil Change,27281.123334971886,1
Ahmedabad,0.9426942386217374,36,5,7,Casual,Traditional,Pastel,OBD,None,22794.639696497194,1
Pune,0.40323809173892877,50,12,8,Casual,Cast Iron,Pastel,Dashcam,AC Clean,25510.925214095143,1
Mumbai,1.8499071582337536,53,9,8,Saree/Traditional,Cast Iron,Monochrome,OBD,Mobile Oil Change,49302.16310541239,1
Mumbai,1.642054653264653,31,2,6,Saree/Traditional,Smart Electric Pan,Monochrome,Dashcam,None,25700.791070050807,1
Hyderabad,0.8598234146680537,31,13,10,Western Formal,Cast Iron,Vibrant,None,Mobile Oil Change,40549.14871118306,1
Pune,1.2418675280992786,52,1,2,Saree/Traditional,Cast Iron,Monochrome,None,AC Clean,19999.45451515677,0
Pune,1.8252116898977622,47,11,6,Casual,Traditional,Monochrome,Battery Monitor,None,51978.10775220863,1
Ahmedabad,0.9257769984825618,45,14,1,Saree/Traditional,Traditional,Vibrant,Dashcam,AC Clean,41921.35063636099,1
Pune,1.018869296885669,34,13,1,Saree/Traditional,Traditional,Pastel,Dashcam,None,36619.21199317007,1
Bangalore,1.346179500004424,20,5,3,Saree/Traditional,Traditional,Monochrome,Dashcam,SOS,33056.59185496222,0
Hyderabad,0.9245453618672483,33,1,3,Western Formal,Traditional,Pastel,Battery Monitor,SOS,15999.782664038214,0
Pune,1.7142551981922134,63,4,5,Western Formal,Smart Electric Pan,Vibrant,None,SOS,34970.71978738077,1
Ahmedabad,1.0986595318155372,47,1,1,Casual,Smart Electric Pan,Vibrant,Dashcam,SOS,18798.272005999155,0
Bangalore,0.7295784750036156,69,2,10,Western Formal,Smart Electric Pan,Monochrome,Battery Monitor,SOS,25288.178008071754,1
Delhi,1.5651832979243967,46,2,6,Saree/Traditional,Traditional,Vibrant,Dashcam,AC Clean,29119.558210751915,1
Delhi,0.5147216103411919,62,5,7,Western Formal,Traditional,Vibrant,OBD,SOS,14505.115351591832,1
Bangalore,2.408927136674528,32,5,10,Saree/Traditional,Traditional,Vibrant,Dashcam,AC Clean,46989.76654669383,1
Ahmedabad,2.1494978181481215,63,9,3,Western Formal,Smart Electric Pan,Monochrome,OBD,SOS,51856.60086039654,1
Bangalore,1.5080972861526092,42,2,4,Western Formal,Traditional,Monochrome,Battery Monitor,Mobile Oil Change,26969.255411797156,0
Hyderabad,1.4575986130919412,68,2,10,Western Formal,Smart Electric Pan,Monochrome,Battery Monitor,SOS,29508.847618875177,1
Hyderabad,1.429464850691579,55,12,10,Saree/Traditional,Traditional,Vibrant,None,Mobile Oil Change,45746.11727062588,1
Delhi,0.9065431284486557,59,11,10,Western Formal,Cast Iron,Pastel,Dashcam,AC Clean,28948.321215170712,1
Pune,1.3783857874085053,64,12,10,Saree/Traditional,Smart Electric Pan,Vibrant,Battery Monitor,SOS,43941.766084908035,1
Ahmedabad,0.6461204337252909,69,0,10,Saree/Traditional,Cast Iron,Monochrome,None,None,13459.929878636825,1
Delhi,1.5022910510641085,55,6,3,Casual,Smart Electric Pan,Pastel,Dashcam,AC Clean,29225.94142969068,1
Pune,1.720708165818777,40,12,1,Western Formal,Traditional,Pastel,Battery Monitor,SOS,44274.09441953902,1
Pune,0.9731483394099992,42,7,8,Casual,Traditional,Monochrome,OBD,AC Clean,29377.21706386363,1
Hyderabad,0.8429389235071683,59,1,10,Casual,Cast Iron,Pastel,Battery Monitor,None,17450.13831671774,1
Mumbai,0.4725137852112541,24,3,10,Saree/Traditional,Traditional,Pastel,OBD,SOS,17670.972415003493,1
Mumbai,2.0747731401394143,39,9,2,Western Formal,Smart Electric Pan,Monochrome,None,None,47291.02582550171,1
Bangalore,0.8906015796946731,34,6,1,Saree/Traditional,Traditional,Pastel,None,SOS,25631.925016097204,0
Hyderabad,1.0807565783900261,35,7,8,Saree/Traditional,Traditional,Pastel,Dashcam,Mobile Oil Change,29911.22599065107,1
Pune,1.3800933509974354,66,0,7,Western Formal,Smart Electric Pan,Monochrome,Dashcam,AC Clean,24136.103964771548,1
Ahmedabad,1.3693245857339607,58,3,7,Saree/Traditional,Cast Iron,Pastel,Dashcam,None,33153.21423009475,1
Mumbai,1.647936057408642,27,5,4,Western Formal,Cast Iron,Pastel,None,AC Clean,36185.940964030335,1
Pune,0.9724020480970028,27,2,9,Western Formal,Traditional,Pastel,OBD,None,21080.983233337673,1
Mumbai,0.5167992369174521,24,4,6,Saree/Traditional,Smart Electric Pan,Pastel,Dashcam,AC Clean,14523.78018720243,1
Mumbai,0.41180081461661033,65,9,2,Saree/Traditional,Cast Iron,Monochrome,Dashcam,AC Clean,23437.93844901448,1
Mumbai,0.8524468602942921,67,8,1,Casual,Cast Iron,Vibrant,None,AC Clean,26932.7191316222,1
Ahmedabad,0.6288897151952255,55,10,1,Saree/Traditional,Traditional,Vibrant,OBD,Mobile Oil Change,29519.341684083767,1
Hyderabad,1.017829976815345,44,12,9,Western Formal,Smart Electric Pan,Pastel,Battery Monitor,SOS,500000.0,1
Ahmedabad,1.9845472864559897,69,2,4,Casual,Cast Iron,Monochrome,Dashcam,Mobile Oil Change,34403.88820167407,0
Delhi,0.9736330764697866,50,4,5,Western Formal,Traditional,Monochrome,Battery Monitor,AC Clean,25062.33878077731,1
Pune,0.9734094831992659,18,7,3,Casual,Traditional,Pastel,Battery Monitor,None,28789.289547013257,1
Hyderabad,1.1901607342465268,61,5,4,Saree/Traditional,Traditional,Vibrant,Dashcam,AC Clean,27454.852199199464,1
Hyderabad,0.9566250052727603,51,3,8,Saree/Traditional,Traditional,Pastel,None,SOS,21910.316008111895,1
Hyderabad,1.1595652585690837,21,7,4,Saree/Traditional,Cast Iron,Monochrome,Dashcam,Mobile Oil Change,28296.938400601233,1
Hyderabad,1.5245215334888078,34,10,9,Western Formal,Smart Electric Pan,Monochrome,OBD,SOS,45604.43865939994,1
Ahmedabad,1.7308506328579885,21,2,9,Casual,Traditional,Vibrant,OBD,None,34437.41540305025,1
Hyderabad,1.8019279198434142,60,2,6,Western Formal,Traditional,Monochrome,Dashcam,SOS,28789.603228263128,1
Bangalore,2.434111332438612,43,3,2,Casual,Cast Iron,Monochrome,Battery Monitor,Mobile Oil Change,45005.58252144224,0
Pune,1.5416156677034627,21,8,10,Saree/Traditional,Traditional,Monochrome,OBD,None,39560.408805951694,1
Hyderabad,2.540687340809585,18,4,7,Western Formal,Traditional,Vibrant,OBD,SOS,46982.32996734251,1
Pune,0.7341109151642141,24,7,9,Saree/Traditional,Smart Electric Pan,Monochrome,Dashcam,Mobile Oil Change,32773.353064548704,1
Bangalore,2.454770941454751,47,5,6,Western Formal,Traditional,Pastel,Dashcam,Mobile Oil Change,53027.32372968475,1
Bangalore,0.9717743674682459,67,2,3,Saree/Traditional,Cast Iron,Vibrant,None,AC Clean,15036.823157314519,1
Pune,1.0307886415421788,26,14,7,Western Formal,Smart Electric Pan,Pastel,Dashcam,SOS,39624.83881564336,1
Mumbai,1.1280764715462759,52,7,5,Western Formal,Cast Iron,Pastel,Dashcam,None,28368.17595390303,1
Delhi,1.0688275733047612,25,11,1,Casual,Smart Electric Pan,Vibrant,OBD,AC Clean,40991.08719620167,0
Mumbai,1.2515042380359018,41,8,3,Saree/Traditional,Smart Electric Pan,Pastel,OBD,SOS,32550.936961759937,1
Mumbai,0.8519831985069364,36,7,5,Casual,Traditional,Vibrant,OBD,SOS,22957.265134234298,1
Ahmedabad,0.1,53,12,7,Casual,Traditional,Pastel,Battery Monitor,None,53566.99920454985,1
Mumbai,0.8682989792272922,67,3,3,Saree/Traditional,Traditional,Vibrant,OBD,AC Clean,21406.30671417556,0
Hyderabad,1.593366238951735,69,13,6,Western Formal,Cast Iron,Monochrome,OBD,AC Clean,56453.308509868606,1
Ahmedabad,2.1166341717142587,60,13,5,Casual,Traditional,Monochrome,Dashcam,None,58925.306788908536,1
Ahmedabad,0.985738578115356,44,12,1,Saree/Traditional,Traditional,Pastel,None,AC Clean,36690.42999045221,1
Bangalore,1.6766300507875065,49,10,10,Western Formal,Smart Electric Pan,Monochrome,OBD,Mobile Oil Change,47907.553788662015,1
Mumbai,1.5354955733419107,31,5,6,Casual,Traditional,Vibrant,None,None,33073.44962230279,1
Bangalore,2.5517321293318496,35,0,8,Casual,Traditional,Pastel,OBD,SOS,45392.46953910365,1
Pune,0.89710166109303,45,3,1,Casual,Traditional,Monochrome,OBD,None,23331.35212198402,0
Delhi,1.6770429700834704,46,7,2,Western Formal,Traditional,Monochrome,None,Mobile Oil Change,33806.88233148858,0
Ahmedabad,0.3,33,0,4,Casual,Smart Electric Pan,Pastel,Dashcam,None,8927.581382372926,0
Pune,0.9024849535579123,52,2,2,Western Formal,Traditional,Monochrome,OBD,SOS,14724.068090146131,0
Pune,1.4120357025581447,64,0,9,Casual,Smart Electric Pan,Monochrome,None,SOS,500000.0,1
Hyderabad,2.0358959814538684,48,8,10,Saree/Traditional,Cast Iron,Pastel,OBD,None,53489.56897967241,1
Delhi,0.46443998100947825,21,1,8,Casual,Traditional,Monochrome,Battery Monitor,None,8552.518512076846,1
Pune,1.671654384444666,54,8,8,Saree/Traditional,Traditional,Monochrome,Battery Monitor,Mobile Oil Change,43391.81201211625,1
